epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1097.36,1.50604,1.69513,1.99941,0.5395,0.5572,0.57805,0.25755,1.80927,1.77213,2.20657,0.0003763,0.0003763,0.0003763
65,1114.45,1.51042,1.7034,1.99613,0.49133,0.63865,0.60712,0.26791,1.7518,1.77398,2.14843,0.0003664,0.0003664,0.0003664
66,1131.41,1.4953,1.68147,1.97946,0.68668,0.55934,0.63121,0.2994,1.69724,1.64474,2.08036,0.0003565,0.0003565,0.0003565
67,1148.35,1.49381,1.66087,1.97295,0.48308,0.64016,0.62242,0.29822,1.66655,1.6325,2.07621,0.0003466,0.0003466,0.0003466
68,1165.32,1.47539,1.64556,1.95337,0.54698,0.59423,0.58672,0.25776,1.75681,1.74996,2.12637,0.0003367,0.0003367,0.0003367
69,1182.3,1.47913,1.66047,1.97294,0.54386,0.66186,0.63875,0.30627,1.73751,1.56456,2.10695,0.0003268,0.0003268,0.0003268
70,1199.27,1.48353,1.65528,1.96712,0.52857,0.65951,0.63796,0.30263,1.70442,1.62261,2.08261,0.0003169,0.0003169,0.0003169
71,1216.25,1.46272,1.61372,1.9557,0.52174,0.61395,0.60731,0.28447,1.76438,1.66981,2.1746,0.000307,0.000307,0.000307
72,1233.34,1.46647,1.60649,1.95184,0.54183,0.64168,0.62234,0.28764,1.73576,1.6461,2.11256,0.0002971,0.0002971,0.0002971
73,1250.37,1.47678,1.63157,1.96616,0.52915,0.62623,0.62361,0.28603,1.75054,1.63077,2.15324,0.0002872,0.0002872,0.0002872
74,1267.24,1.4571,1.61536,1.94271,0.56844,0.64053,0.64951,0.30374,1.71005,1.61118,2.13022,0.0002773,0.0002773,0.0002773
75,1284.24,1.4531,1.61263,1.94571,0.50585,0.65552,0.62924,0.28969,1.72517,1.62313,2.13957,0.0002674,0.0002674,0.0002674
76,1301.23,1.47139,1.62413,1.96354,0.54536,0.65257,0.65271,0.30989,1.68814,1.67853,2.10525,0.0002575,0.0002575,0.0002575
77,1318.19,1.47081,1.63498,1.95617,0.5369,0.661,0.66127,0.316,1.71552,1.57672,2.12059,0.0002476,0.0002476,0.0002476
78,1335.14,1.43726,1.5994,1.93354,0.55064,0.65539,0.67295,0.32129,1.67083,1.55306,2.07242,0.0002377,0.0002377,0.0002377
79,1352.21,1.46352,1.63111,1.95138,0.54939,0.67733,0.66464,0.31119,1.67321,1.63648,2.09695,0.0002278,0.0002278,0.0002278
80,1369.15,1.43497,1.59549,1.92014,0.55259,0.65979,0.66699,0.31493,1.70951,1.569,2.09234,0.0002179,0.0002179,0.0002179
81,1386.23,1.44652,1.59299,1.92984,0.54059,0.67796,0.68003,0.32881,1.634,1.56103,2.06781,0.000208,0.000208,0.000208
82,1403.27,1.45041,1.60015,1.94081,0.55048,0.69676,0.68207,0.3272,1.68435,1.56468,2.09248,0.0001981,0.0001981,0.0001981
83,1420.22,1.42549,1.55392,1.92551,0.54626,0.68193,0.67815,0.31914,1.67954,1.56002,2.08498,0.0001882,0.0001882,0.0001882
84,1437.23,1.4512,1.59614,1.93469,0.56661,0.66995,0.68075,0.31744,1.6937,1.52331,2.07715,0.0001783,0.0001783,0.0001783
85,1454.2,1.42437,1.57451,1.9192,0.58421,0.67759,0.68317,0.32086,1.67951,1.56199,2.09561,0.0001684,0.0001684,0.0001684
