epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0
78,1125.15,1.18744,1.0858,1.37867,0.6527,0.71144,0.73609,0.3934,1.51473,1.25131,1.72789,0.00111776
79,1139.38,1.20156,1.08623,1.386,0.70788,0.66511,0.73782,0.40134,1.52057,1.23682,1.71528,0.00102209
80,1153.81,1.19973,1.09379,1.3821,0.68072,0.70571,0.75856,0.40767,1.5048,1.2373,1.70789,0.000930222
81,1168.4,1.16464,1.0549,1.36565,0.67625,0.69406,0.74696,0.40533,1.51525,1.24093,1.72215,0.000842239
82,1182.78,1.16536,1.05614,1.36902,0.69352,0.67799,0.75284,0.40284,1.52915,1.23066,1.72915,0.000758233
83,1197.16,1.16408,1.04405,1.35803,0.70461,0.68565,0.75072,0.40042,1.52292,1.24398,1.71817,0.000678284
84,1211.37,1.17162,1.05862,1.37085,0.68516,0.69945,0.75884,0.41143,1.50385,1.24038,1.7145,0.000602473
85,1225.59,1.16262,1.04986,1.35745,0.69908,0.67295,0.74947,0.40444,1.50815,1.24628,1.71303,0.000530875
86,1239.89,1.16651,1.05556,1.36256,0.68711,0.69716,0.75411,0.40063,1.51504,1.24826,1.71402,0.000463559
87,1254.19,1.15904,1.05177,1.36129,0.6755,0.70518,0.74812,0.40463,1.51627,1.23889,1.72175,0.000400593
88,1268.71,1.15439,1.03598,1.35613,0.6912,0.68418,0.75238,0.4043,1.50802,1.23457,1.70976,0.000342038
89,1282.95,1.15577,1.03217,1.36006,0.65782,0.70309,0.75224,0.40571,1.50398,1.23117,1.70051,0.000287952
90,1297.39,1.15745,1.04827,1.34977,0.67535,0.6979,0.75398,0.40698,1.51813,1.22825,1.71347,0.000238389
91,1320.12,1.20022,1.09182,1.43134,0.66505,0.70734,0.74074,0.39808,1.52251,1.25736,1.72949,0.000193398
92,1333.15,1.16724,1.01771,1.40962,0.64657,0.71783,0.73815,0.3978,1.51234,1.23905,1.72008,0.000153022
93,1346.13,1.1567,0.99648,1.38926,0.64948,0.72081,0.73705,0.39984,1.50366,1.23589,1.71625,0.000117302
94,1359.08,1.15551,0.96944,1.39437,0.65818,0.70384,0.73514,0.39801,1.5118,1.24312,1.72062,8.62735e-05
95,1372.19,1.16055,0.98615,1.39557,0.64994,0.71381,0.73583,0.40004,1.50763,1.24448,1.71883,5.99664e-05
96,1385.09,1.14925,0.99763,1.40516,0.66109,0.70086,0.73555,0.39673,1.51707,1.24456,1.72433,3.8407e-05
97,1398.05,1.15214,0.98113,1.39657,0.66189,0.69982,0.73652,0.39891,1.51524,1.2452,1.72563,2.16164e-05
98,1410.99,1.14722,0.97933,1.39442,0.6605,0.7001,0.73815,0.40159,1.51401,1.2417,1.72293,9.61122e-06
99,1423.97,1.15995,0.9923,1.40127,0.64517,0.70551,0.73492,0.39882,1.51554,1.24276,1.72402,2.4034e-06
100,1436.9,1.15242,0.98767,1.40157,0.65077,0.71345,0.73618,0.39988,1.51423,1.24344,1.72419,0
